Solar,Madhya Pradesh,3295.38
Small-Hydro,Madhya Pradesh,123.71
Bio Power,Madhya Pradesh,134.94
Hydro,Madhya Pradesh,2235
Oil & Gas,Madhya Pradesh,0
Coal,Madhya Pradesh,22000
Wind,Madhya Pradesh,2844.29
Nuclear,Madhya Pradesh,0
,,
Solar,Maharashtra,5713.85
Small-Hydro,Maharashtra,382.28
Bio Power,Maharashtra,2643.19
Hydro,Maharashtra,3047
Oil & Gas,Maharashtra,3207.08
Coal,Maharashtra,24006
Wind,Maharashtra,5195.38
Nuclear,Maharashtra,1400
,,
Solar,Manipur,13.04
Small-Hydro,Manipur,5.45
Bio Power,Manipur,0
Hydro,Manipur,105
Oil & Gas,Manipur,0
Coal,Manipur,0
Wind,Manipur,0
Nuclear,Manipur,0
,,
Solar,Meghalaya,4.19
Small-Hydro,Meghalaya,55.03
Bio Power,Meghalaya,13.8
Hydro,Meghalaya,322
Oil & Gas,Meghalaya,0
Coal,Meghalaya,0
Wind,Meghalaya,0
Nuclear,Meghalaya,0
,,
Solar,Mizoram,30.42
Small-Hydro,Mizoram,45.47
Bio Power,Mizoram,0
Hydro,Mizoram,60
Oil & Gas,Mizoram,0
Coal,Mizoram,0
Wind,Mizoram,0
Nuclear,Mizoram,0
,,
Solar,Nagaland,3.17
Small-Hydro,Nagaland,32.67
Bio Power,Nagaland,0
Hydro,Nagaland,75
Oil & Gas,Nagaland,0
Coal,Nagaland,0
Wind,Nagaland,0
Nuclear,Nagaland,0
,,
Solar,Odisha,480.83
Small-Hydro,Odisha,115.63
Bio Power,Odisha,59.22
Hydro,Odisha,2154.55
Oil & Gas,Odisha,0
Coal,Odisha,9540
Wind,Odisha,0
Nuclear,Odisha,0
,,
Solar,Puducherry,43.34
Small-Hydro,Puducherry,0
Bio Power,Puducherry,0
Hydro,Puducherry,0
Oil & Gas,Puducherry,32.5
Coal,Puducherry,0
Wind,Puducherry,0
Nuclear,Puducherry,0
,,
Solar,Punjab,1266.54
Small-Hydro,Punjab,176.1
Bio Power,Punjab,532.11
Hydro,Punjab,1096.3
Oil & Gas,Punjab,0
Coal,Punjab,5680
Wind,Punjab,0
Nuclear,Punjab,0
,,
Solar,Rajasthan,19510.6
